Region;Year;Professional groups;Age Group;Total ;Women;Men;Gender Pay Gap;;;;;;;;
Lake Geneva;2012;Service professions and salespersons;>= 50;5 095  ;4 800  ;5 851  ;1 051;;;;;;;;
Lake Geneva;2012;Occupations in the field of personal services;>= 50;4 749  ;4 376  ;5 348  ; 972;;;;;;;;
Lake Geneva;2012;Sales staff;>= 50;4 450  ;4 177  ;5 853  ;1 676;;;;;;;;
Lake Geneva;2012;Caring professions;>= 50;5 928  ;5 831  ;7 013  ;1 182;;;;;;;;
Lake Geneva;2012;Protection and security workers;>= 50;7 891  ;6 016  ;8 427 ;#WERT!;;;;;;;;
Lake Geneva;2012;Skilled workers in agriculture, forestry and fishing;>= 50;4 779 ;*  ;5 532 ;#WERT!;;;;;;;;
Lake Geneva;2012;Skilled workers in agriculture;>= 50;4 779 ;*  ;5 076 ;#WERT!;;;;;;;;
Lake Geneva;2012;Craft and related trades;>= 50;6 293  ;5 367  ;6 327  ; 960;;;;;;;;
Lake Geneva;2012;Construction and finishing workers and related occupations, excl. Electricians;>= 50;6 255  ;*  ;6 260  ;#WERT!;;;;;;;;
Lake Geneva;2012;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;>= 50;6 429  ;*  ;6 479  ;#WERT!;;;;;;;;
Lake Geneva;2012;Precision craftsmen and women, printers and artisans;>= 50;6 765  ;6 235  ;6 854  ; 619;;;;;;;;
Lake Geneva;2012;Electricians and electronics technicians;>= 50;6 588  ;6 584  ;6 588  ; 4;;;;;;;;
Lake Geneva;2012;Food processing, clothing production and related skilled trades;>= 50;5 593  ;4 611  ;5 749  ;1 138;;;;;;;;
Lake Geneva;2012;Operating plant and machinery and assembly occupations;>= 50;5 780  ;5 535  ;5 825  ; 290;;;;;;;;
Lake Geneva;2012;Operating stationary plant and machinery;>= 50;6 262  ;6 070  ;6 371  ; 301;;;;;;;;
Lake Geneva;2012;Assembly occupations;>= 50;5 529  ;4 801 ;5 696  ;#WERT!;;;;;;;;
Lake Geneva;2012;Driving vehicles and operating mobile equipment;>= 50;5 624  ;4 450 ;5 648  ;#WERT!;;;;;;;;
Lake Geneva;2012;Auxiliary workers;>= 50;5 458  ;4 697  ;5 921  ;1 224;;;;;;;;
Lake Geneva;2012;Cleaning staff and unskilled workers;>= 50;4 855  ;4 539  ;5 636  ;1 097;;;;;;;;
Lake Geneva;2012;Auxiliary workers in mining, construction, production of goods and transportation;>= 50;6 028  ;4 535 ;6 312  ;#WERT!;;;;;;;;
Midlands;2020;Total ;total ;6 600;6 112;6 923; 811;;;;;;;;
Midlands;2020;Executives;total ;9 615;8 207;10 132;1 925;;;;;;;;
Midlands;2020;Managing directors, board members, senior administrative staff and legislative bodies;total ;10 337;8 375;10 867;2 492;;;;;;;;
Midlands;2020;Managers in the commercial sector;total ;9 753;8 301;10 530;2 229;;;;;;;;
Midlands;2020;Managers in production and specialized services;total ;8 918;8 276;9 160; 884;;;;;;;;
Midlands;2020;Managers in hotels, restaurants, retail and other services services;total ;5 928;5 393;6 512;1 119;;;;;;;;
Midlands;2020;Intellectual and scientific professions;total ;8 612;7 920;9 387;1 467;;;;;;;;
Midlands;2020;Scientists, mathematicians and engineers;total ;8 665;7 397;8 935;1 538;;;;;;;;
Midlands;2020;Specialists in health professions;total ;7 315;7 097;8 227;1 130;;;;;;;;
Midlands;2020;Teachers;total ;9 355;8 980;10 145;1 165;;;;;;;;
Midlands;2020;Business economists and similar specialists;total ;8 479;7 627;9 189;1 562;;;;;;;;
Midlands;2020;Specialists in information and communication technology;total ;9 434;8 879;9 550; 671;;;;;;;;
Midlands;2020;Lawyers, social scientists and cultural professions;total ;8 514;8 135;8 993; 858;;;;;;;;
Midlands;2020;Technicians and equivalent non-technical professions;total ;7 169;6 316;7 650;1 334;;;;;;;;
Midlands;2020;Engineering and comparable specialists;total ;7 230;6 380;7 331; 951;;;;;;;;
Midlands;2020;Assistant professions in the healthcare sector;total ;5 648;5 564;6 433; 869;;;;;;;;
Midlands;2020;Business management and commercial specialists and administrative specialists;total ;7 605;6 974;8 284;1 310;;;;;;;;
Midlands;2020;Legal, social, cultural and related professionals;total ;6 738;6 635;6 872; 237;;;;;;;;
Midlands;2020;Information and communication technicians;total ;7 397;6 213;7 690;1 477;;;;;;;;
Midlands;2020;Office workers and related professions;total ;6 105;6 070;6 165; 95;;;;;;;;
Midlands;2020;General office and secretarial staff;total ;6 351;6 238;6 871; 633;;;;;;;;
Midlands;2020;Office staff with customer contact;total ;5 662;5 588;5 753; 165;;;;;;;;
Midlands;2020;Office staff in finance and accounting, statistics and materials management;total ;6 076;5 867;6 193; 326;;;;;;;;
Midlands;2020;Other office workers and related occupations;total ;5 999;5 950;6 020; 70;;;;;;;;
Midlands;2020;Service professions and salespersons;total ;5 016;4 799;5 673; 874;;;;;;;;
Midlands;2020;Occupations in the field of personal services;total ;4 812;4 563;5 272; 709;;;;;;;;
Midlands;2020;Sales staff;total ;4 869;4 689;5 679; 990;;;;;;;;
Midlands;2020;Caring professions;total ;5 270;5 229;5 471; 242;;;;;;;;
Midlands;2020;Protection and security workers;total ;7 059;6 710;7 136; 426;;;;;;;;
Midlands;2020;Skilled workers in agriculture, forestry and fishing;total ;5 247;4 679;5 391; 712;;;;;;;;
Midlands;2020;Skilled workers in agriculture;total ;5 176;4 666;5 271; 605;;;;;;;;
Midlands;2020;Craft and related trades;total ;5 925;4 988;6 010;1 022;;;;;;;;
Midlands;2020;Construction and finishing workers and related occupations, excl. Electricians;total ;5 914;5 373;5 926; 553;;;;;;;;
Midlands;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;total ;6 165;4 860;6 202;1 342;;;;;;;;
Midlands;2020;Precision craftsmen and women, printers and artisans;total ;5 593;5 097;5 961; 864;;;;;;;;
Midlands;2020;Electricians and electronics technicians;total ;6 131;5 478;6 160; 682;;;;;;;;
Midlands;2020;Food processing, clothing production and related skilled trades;total ;5 088;4 840;5 319; 479;;;;;;;;
Midlands;2020;Operating plant and machinery and assembly occupations;total ;5 757;4 946;5 972;1 026;;;;;;;;
Midlands;2020;Operating stationary plant and machinery;total ;5 543;4 949;5 981;1 032;;;;;;;;
Midlands;2020;Assembly occupations;total ;5 548;4 808;5 879;1 071;;;;;;;;
Midlands;2020;Driving vehicles and operating mobile equipment;total ;5 946;5 339;5 987; 648;;;;;;;;
Midlands;2020;Auxiliary workers;total ;5 145;4 527;5 502; 975;;;;;;;;
Midlands;2020;Cleaning staff and unskilled workers;total ;4 540;4 411;4 988; 577;;;;;;;;
Midlands;2020;Auxiliary workers in mining, construction, production of goods and transportation;total ;5 445;4 629;5 656;1 027;;;;;;;;
Midlands;2021;Total ;<= 29;5 270;5 157;5 364; 207;;;;;;;;
Midlands;2020;Executives;<= 29;6 320;6 261;6 380; 119;;;;;;;;
Midlands;2020;Managing directors, board members, senior administrative staff and legislative bodies;<= 29;6 499;5 644;6 939;1 295;;;;;;;;
Midlands;2020;Managers in the commercial sector;<= 29;6 476;6 476;6 474;- 2;;;;;;;;
Midlands;2020;Managers in production and specialized services;<= 29;6 278;6 441;6 171;- 270;;;;;;;;
Midlands;2020;Managers in hotels, restaurants, retail and other services services;<= 29;5 156;*;*;#WERT!;;;;;;;;
Midlands;2020;Intellectual and scientific professions;<= 29;6 499;6 432;6 587; 155;;;;;;;;
Midlands;2020;Scientists, mathematicians and engineers;<= 29;6 674;6 407;6 688; 281;;;;;;;;
Midlands;2020;Specialists in health professions;<= 29;6 169;6 102;6 569; 467;;;;;;;;
Midlands;2020;Teachers;<= 29;6 992;6 997;6 903;- 94;;;;;;;;
Midlands;2020;Business economists and similar specialists;<= 29;6 324;6 218;6 433; 215;;;;;;;;
Midlands;2020;Specialists in information and communication technology;<= 29;6 527;6 414;6 546; 132;;;;;;;;
Midlands;2020;Lawyers, social scientists and cultural professions;<= 29;6 565;6 642;6 133;- 509;;;;;;;;
Midlands;2020;Technicians and equivalent non-technical professions;<= 29;5 419;5 158;5 850; 692;;;;;;;;
Midlands;2020;Engineering and comparable specialists;<= 29;5 770;5 363;5 860; 497;;;;;;;;
Midlands;2020;Assistant professions in the healthcare sector;<= 29;4 930;4 889;5 174; 285;;;;;;;;
Midlands;2020;Business management and commercial specialists and administrative specialists;<= 29;5 686;5 570;5 867; 297;;;;;;;;
Midlands;2020;Legal, social, cultural and related professionals;<= 29;5 537;5 705;5 232;- 473;;;;;;;;
Midlands;2020;Information and communication technicians;<= 29;5 651;5 231;5 720; 489;;;;;;;;
Midlands;2020;Office workers and related professions;<= 29;5 092;5 131;5 030;- 101;;;;;;;;
Midlands;2020;General office and secretarial staff;<= 29;5 160;5 158;5 168; 10;;;;;;;;
Midlands;2020;Office staff with customer contact;<= 29;4 690;4 745;4 651;- 94;;;;;;;;
Midlands;2020;Office staff in finance and accounting, statistics and materials management;<= 29;5 020;5 098;4 973;- 125;;;;;;;;
Midlands;2020;Other office workers and related occupations;<= 29;5 114;5 192;5 012;- 180;;;;;;;;
Midlands;2020;Service professions and salespersons;<= 29;4 518;4 436;4 682; 246;;;;;;;;
Midlands;2020;Occupations in the field of personal services;<= 29;4 339;4 300;4 482; 182;;;;;;;;
Midlands;2020;Sales staff;<= 29;4 491;4 425;4 644; 219;;;;;;;;
Midlands;2020;Caring professions;<= 29;4 750;4 726;4 871; 145;;;;;;;;
Midlands;2020;Protection and security workers;<= 29;5 814;5 849;5 776;- 73;;;;;;;;
Midlands;2020;Skilled workers in agriculture, forestry and fishing;<= 29;4 733;4 518;4 827; 309;;;;;;;;
Midlands;2020;Skilled workers in agriculture;<= 29;4 799;4 518;4 861; 343;;;;;;;;
Midlands;2020;Craft and related trades;<= 29;5 231;4 728;5 279; 551;;;;;;;;
Midlands;2020;Construction and finishing workers and related occupations, excl. Electricians;<= 29;5 363;5 222;5 390; 168;;;;;;;;
Midlands;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;<= 29;5 215;4 769;5 235; 466;;;;;;;;
Midlands;2020;Precision craftsmen and women, printers and artisans;<= 29;5 017;4 776;5 107; 331;;;;;;;;
Midlands;2020;Electricians and electronics technicians;<= 29;5 353;*;5 358;#WERT!;;;;;;;;
Midlands;2020;Food processing, clothing production and related skilled trades;<= 29;4 592;4 510;4 634; 124;;;;;;;;
Midlands;2020;Operating plant and machinery and assembly occupations;<= 29;5 103;4 782;5 265; 483;;;;;;;;
Midlands;2020;Operating stationary plant and machinery;<= 29;5 012;4 756;5 263; 507;;;;;;;;
Midlands;2020;Assembly occupations;<= 29;5 032;4 686;5 230; 544;;;;;;;;
Midlands;2020;Driving vehicles and operating mobile equipment;<= 29;5 224;4 869;5 287; 418;;;;;;;;
Midlands;2020;Auxiliary workers;<= 29;4 653;4 239;4 877; 638;;;;;;;;
Midlands;2020;Cleaning staff and unskilled workers;<= 29;4 071;3 976;4 507; 531;;;;;;;;
Midlands;2020;Auxiliary workers in mining, construction, production of goods and transportation;<= 29;4 938;4 297;5 090; 793;;;;;;;;
Midlands;2021;Total ;30 - 49;6 825;6 458;7 054; 596;;;;;;;;
Midlands;2020;Executives;30 - 49;9 312;8 373;9 649;1 276;;;;;;;;
Midlands;2020;Managing directors, board members, senior administrative staff and legislative bodies;30 - 49;9 905;8 375;10 129;1 754;;;;;;;;
Midlands;2020;Managers in the commercial sector;30 - 49;9 524;8 431;10 102;1 671;;;;;;;;
Midlands;2020;Managers in production and specialized services;30 - 49;8 613;8 607;8 617; 10;;;;;;;;
Midlands;2020;Managers in hotels, restaurants, retail and other services services;30 - 49;5 823;5 517;6 439; 922;;;;;;;;
Midlands;2020;Intellectual and scientific professions;30 - 49;8 656;8 137;9 151;1 014;;;;;;;;
Midlands;2020;Scientists, mathematicians and engineers;30 - 49;8 694;7 829;8 840;1 011;;;;;;;;
Midlands;2020;Specialists in health professions;30 - 49;7 414;7 243;8 076; 833;;;;;;;;
Midlands;2020;Teachers;30 - 49;9 050;8 853;9 532; 679;;;;;;;;
Midlands;2020;Business economists and similar specialists;30 - 49;8 533;7 830;9 083;1 253;;;;;;;;
Midlands;2020;Specialists in information and communication technology;30 - 49;9 418;9 048;9 493; 445;;;;;;;;
Midlands;2020;Lawyers, social scientists and cultural professions;30 - 49;8 334;8 165;8 713; 548;;;;;;;;
Midlands;2020;Technicians and equivalent non-technical professions;30 - 49;7 307;6 691;7 620; 929;;;;;;;;
Midlands;2020;Engineering and comparable specialists;30 - 49;7 209;6 523;7 285; 762;;;;;;;;
Midlands;2020;Assistant professions in the healthcare sector;30 - 49;6 020;5 941;6 628; 687;;;;;;;;
Midlands;2020;Business management and commercial specialists and administrative specialists;30 - 49;7 649;7 102;8 227;1 125;;;;;;;;
Midlands;2020;Legal, social, cultural and related professionals;30 - 49;6 829;6 906;6 782;- 124;;;;;;;;
Midlands;2020;Information and communication technicians;30 - 49;7 278;6 383;7 521;1 138;;;;;;;;
Midlands;2020;Office workers and related professions;30 - 49;6 251;6 208;6 347; 139;;;;;;;;
Midlands;2020;General office and secretarial staff;30 - 49;6 456;6 340;6 954; 614;;;;;;;;
Midlands;2020;Office staff with customer contact;30 - 49;5 702;5 632;5 825; 193;;;;;;;;
Midlands;2020;Office staff in finance and accounting, statistics and materials management;30 - 49;6 206;6 077;6 258; 181;;;;;;;;
Midlands;2020;Other office workers and related occupations;30 - 49;6 104;6 104;6 106; 2;;;;;;;;
Midlands;2020;Service professions and salespersons;30 - 49;5 110;4 849;5 824; 975;;;;;;;;
Midlands;2020;Occupations in the field of personal services;30 - 49;4 836;4 571;5 210; 639;;;;;;;;
Midlands;2020;Sales staff;30 - 49;5 034;4 779;6 127;1 348;;;;;;;;
Midlands;2020;Caring professions;30 - 49;5 291;5 261;5 471; 210;;;;;;;;
Midlands;2020;Protection and security workers;30 - 49;7 266;7 097;7 310; 213;;;;;;;;
Midlands;2020;Skilled workers in agriculture, forestry and fishing;30 - 49;5 425;4 718;5 570; 852;;;;;;;;
Midlands;2020;Skilled workers in agriculture;30 - 49;5 425;4 718;5 570; 852;;;;;;;;
Midlands;2020;Craft and related trades;30 - 49;6 024;5 094;6 110;1 016;;;;;;;;
Midlands;2020;Construction and finishing workers and related occupations, excl. Electricians;30 - 49;6 007;*;6 007;#WERT!;;;;;;;;
Midlands;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;30 - 49;6 269;4 893;6 317;1 424;;;;;;;;
Midlands;2020;Precision craftsmen and women, printers and artisans;30 - 49;5 673;5 158;6 010; 852;;;;;;;;
Midlands;2020;Electricians and electronics technicians;30 - 49;6 401;*;6 401;#WERT!;;;;;;;;
Midlands;2020;Food processing, clothing production and related skilled trades;30 - 49;5 202;4 951;5 416; 465;;;;;;;;
Midlands;2020;Operating plant and machinery and assembly occupations;30 - 49;5 689;4 978;5 894; 916;;;;;;;;
Midlands;2020;Operating stationary plant and machinery;30 - 49;5 510;4 966;5 923; 957;;;;;;;;
Midlands;2020;Assembly occupations;30 - 49;5 584;4 798;5 884;1 086;;;;;;;;
Midlands;2020;Driving vehicles and operating mobile equipment;30 - 49;5 869;5 736;5 878; 142;;;;;;;;
Midlands;2020;Auxiliary workers;30 - 49;5 113;4 469;5 468; 999;;;;;;;;
Midlands;2020;Cleaning staff and unskilled workers;30 - 49;4 436;4 334;4 780; 446;;;;;;;;
Midlands;2020;Auxiliary workers in mining, construction, production of goods and transportation;30 - 49;5 416;4 588;5 598;1 010;;;;;;;;
Midlands;2021;Total ;>= 50;7 294;6 499;7 778;1 279;;;;;;;;
Midlands;2020;Executives;>= 50;10 741;8 750;11 294;2 544;;;;;;;;
Midlands;2020;Managing directors, board members, senior administrative staff and legislative bodies;>= 50;11 356;9 445;11 828;2 383;;;;;;;;
Midlands;2020;Managers in the commercial sector;>= 50;11 030;8 871;11 864;2 993;;;;;;;;
Midlands;2020;Managers in production and specialized services;>= 50;9 866;8 650;10 268;1 618;;;;;;;;
Midlands;2020;Managers in hotels, restaurants, retail and other services services;>= 50;6 150;5 368;7 172;1 804;;;;;;;;
Midlands;2020;Intellectual and scientific professions;>= 50;10 157;9 240;11 046;1 806;;;;;;;;
Midlands;2020;Scientists, mathematicians and engineers;>= 50;10 594;9 293;10 652;1 359;;;;;;;;
Midlands;2020;Specialists in health professions;>= 50;8 154;7 787;11 556;3 769;;;;;;;;
Midlands;2020;Teachers;>= 50;10 506;10 129;11 397;1 268;;;;;;;;
Midlands;2020;Business economists and similar specialists;>= 50;9 674;8 512;10 194;1 682;;;;;;;;
Midlands;2020;Specialists in information and communication technology;>= 50;10 937;9 888;11 025;1 137;;;;;;;;
Midlands;2020;Lawyers, social scientists and cultural professions;>= 50;9 758;9 438;10 158; 720;;;;;;;;
Midlands;2020;Technicians and equivalent non-technical professions;>= 50;8 087;7 158;8 575;1 417;;;;;;;;
Midlands;2020;Engineering and comparable specialists;>= 50;7 899;7 006;7 989; 983;;;;;;;;
Midlands;2020;Assistant professions in the healthcare sector;>= 50;6 510;6 370;7 575;1 205;;;;;;;;
Midlands;2020;Business management and commercial specialists and administrative specialists;>= 50;8 514;7 607;9 301;1 694;;;;;;;;
Midlands;2020;Legal, social, cultural and related professionals;>= 50;7 532;7 381;7 654; 273;;;;;;;;
Midlands;2020;Information and communication technicians;>= 50;8 768;6 979;9 072;2 093;;;;;;;;
Midlands;2020;Office workers and related professions;>= 50;6 594;6 510;6 737; 227;;;;;;;;
Midlands;2020;General office and secretarial staff;>= 50;7 001;6 795;8 065;1 270;;;;;;;;
Midlands;2020;Office staff with customer contact;>= 50;6 190;6 086;6 739; 653;;;;;;;;
Midlands;2020;Office staff in finance and accounting, statistics and materials management;>= 50;6 631;6 263;6 781; 518;;;;;;;;
Midlands;2020;Other office workers and related occupations;>= 50;6 142;6 158;6 133;- 25;;;;;;;;
Midlands;2020;Service professions and salespersons;>= 50;5 380;5 039;6 544;1 505;;;;;;;;
Midlands;2020;Occupations in the field of personal services;>= 50;5 259;4 831;6 390;1 559;;;;;;;;
Midlands;2020;Sales staff;>= 50;5 072;4 814;6 475;1 661;;;;;;;;
Midlands;2020;Caring professions;>= 50;5 627;5 562;6 264; 702;;;;;;;;
Midlands;2020;Protection and security workers;>= 50;7 939;7 047;8 296;1 249;;;;;;;;
Midlands;2020;Skilled workers in agriculture, forestry and fishing;>= 50;6 223;*;6 437;#WERT!;;;;;;;;
Midlands;2020;Skilled workers in agriculture;>= 50;6 100;*;6 320;#WERT!;;;;;;;;
Midlands;2020;Craft and related trades;>= 50;6 479;5 165;6 576;1 411;;;;;;;;
Midlands;2020;Construction and finishing workers and related occupations, excl. Electricians;>= 50;6 330;*;6 330;#WERT!;;;;;;;;
Midlands;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;>= 50;6 800;4 856;6 830;1 974;;;;;;;;
Midlands;2020;Precision craftsmen and women, printers and artisans;>= 50;6 105;5 253;6 538;1 285;;;;;;;;
Midlands;2020;Electricians and electronics technicians;>= 50;7 117;*;7 128;#WERT!;;;;;;;;
Midlands;2020;Food processing, clothing production and related skilled trades;>= 50;5 420;5 037;5 619; 582;;;;;;;;
Midlands;2020;Operating plant and machinery and assembly occupations;>= 50;6 107;5 005;6 323;1 318;;;;;;;;
Midlands;2020;Operating stationary plant and machinery;>= 50;5 861;5 019;6 366;1 347;;;;;;;;
Midlands;2020;Assembly occupations;>= 50;5 965;4 885;6 306;1 421;;;;;;;;
Midlands;2020;Driving vehicles and operating mobile equipment;>= 50;6 258;5 267;6 303;1 036;;;;;;;;
Midlands;2020;Auxiliary workers;>= 50;5 417;4 756;5 838;1 082;;;;;;;;
Midlands;2020;Cleaning staff and unskilled workers;>= 50;4 816;4 655;5 343; 688;;;;;;;;
Midlands;2020;Auxiliary workers in mining, construction, production of goods and transportation;>= 50;5 744;4 811;5 971;1 160;;;;;;;;
Midlands;2018;Total ;total ;6 511;5 994;6 864; 870;;;;;;;;
Midlands;2018;Executives;total ;9 450;8 095;9 931;1 836;;;;;;;;
Midlands;2018;Managing directors, board members, senior administrative staff and legislative bodies;total ;10 512;9 180;10 717;1 537;;;;;;;;
Midlands;2018;Managers in the commercial sector;total ;9 985;8 508;10 575;2 067;;;;;;;;
Midlands;2018;Managers in production and specialized services;total ;9 081;8 031;9 468;1 437;;;;;;;;
Midlands;2018;Managers in hotels, restaurants, retail and other services services;total ;5 417;5 133;6 244;1 111;;;;;;;;
Midlands;2018;Intellectual and scientific professions;total ;8 586;8 070;9 040; 970;;;;;;;;
Midlands;2018;Scientists, mathematicians and engineers;total ;8 470;6 912;8 712;1 800;;;;;;;;
Midlands;2018;Specialists in health professions;total ;7 735;7 189;9 654;2 465;;;;;;;;
Midlands;2018;Teachers;total ;9 212;8 892;9 916;1 024;;;;;;;;
Midlands;2018;Business economists and similar specialists;total ;7 023;6 825;7 142; 317;;;;;;;;
Midlands;2018;Specialists in information and communication technology;total ;9 196;8 425;9 416; 991;;;;;;;;
Midlands;2018;Lawyers, social scientists and cultural professions;total ;8 115;7 785;8 889;1 104;;;;;;;;
Midlands;2018;Technicians and equivalent non-technical professions;total ;6 837;6 321;7 324;1 003;;;;;;;;
Midlands;2018;Engineering and comparable specialists;total ;7 062;6 363;7 135; 772;;;;;;;;
Midlands;2018;Assistant professions in the healthcare sector;total ;6 445;6 354;7 052; 698;;;;;;;;
Midlands;2018;Business management and commercial specialists and administrative specialists;total ;6 667;6 295;7 626;1 331;;;;;;;;
Midlands;2018;Legal, social, cultural and related professionals;total ;6 746;6 188;7 282;1 094;;;;;;;;
Midlands;2018;Information and communication technicians;total ;6 072;5 235;6 674;1 439;;;;;;;;
Midlands;2018;Office workers and related professions;total ;5 814;5 768;5 861; 93;;;;;;;;
Midlands;2018;General office and secretarial staff;total ;5 960;5 950;6 067; 117;;;;;;;;
Midlands;2018;Office staff with customer contact;total ;5 512;5 235;5 849; 614;;;;;;;;
Midlands;2018;Office staff in finance and accounting, statistics and materials management;total ;5 776;5 694;5 822; 128;;;;;;;;
Midlands;2018;Other office workers and related occupations;total ;5 794;5 514;5 860; 346;;;;;;;;
Midlands;2018;Service professions and salespersons;total ;5 030;4 802;5 762; 960;;;;;;;;
Midlands;2018;Occupations in the field of personal services;total ;4 666;4 449;5 114; 665;;;;;;;;
Midlands;2018;Sales staff;total ;4 900;4 624;6 175;1 551;;;;;;;;
Midlands;2018;Caring professions;total ;5 261;5 234;5 467; 233;;;;;;;;
Midlands;2018;Protection and security workers;total ;6 979;6 263;7 104; 841;;;;;;;;
Midlands;2018;Skilled workers in agriculture, forestry and fishing;total ;5 156;4 617;5 250; 633;;;;;;;;
Midlands;2018;Skilled workers in agriculture;total ;5 059;4 617;5 159; 542;;;;;;;;
Midlands;2018;Craft and related trades;total ;5 804;4 863;5 922;1 059;;;;;;;;
Midlands;2018;Construction and finishing workers and related occupations, excl. Electricians;total ;5 850;5 280;5 859; 579;;;;;;;;
Midlands;2018;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;total ;5 949;4 893;6 027;1 134;;;;;;;;
Midlands;2018;Precision craftsmen and women, printers and artisans;total ;5 519;5 023;6 030;1 007;;;;;;;;
Midlands;2018;Electricians and electronics technicians;total ;5 997;5 174;5 997; 823;;;;;;;;
Midlands;2018;Food processing, clothing production and related skilled trades;total ;5 350;4 730;5 656; 926;;;;;;;;
Midlands;2018;Operating plant and machinery and assembly occupations;total ;5 726;4 713;5 927;1 214;;;;;;;;
Midlands;2018;Operating stationary plant and machinery;total ;5 570;4 644;5 990;1 346;;;;;;;;
Midlands;2018;Assembly occupations;total ;5 541;4 659;5 870;1 211;;;;;;;;
Midlands;2018;Driving vehicles and operating mobile equipment;total ;5 886;5 300;5 917; 617;;;;;;;;
Midlands;2018;Auxiliary workers;total ;5 291;4 642;5 638; 996;;;;;;;;
Midlands;2018;Cleaning staff and unskilled workers;total ;4 495;4 375;4 868; 493;;;;;;;;
Midlands;2018;Auxiliary workers in mining, construction, production of goods and transportation;total ;5 458;4 490;5 638;1 148;;;;;;;;
Midlands;2018;Total ;<= 29;5 200;5 055;5 311; 256;;;;;;;;
Midlands;2018;Executives;<= 29;6 319;6 185;6 431; 246;;;;;;;;
Midlands;2018;Managing directors, board members, senior administrative staff and legislative bodies;<= 29;6 182;5 882;6 182; 300;;;;;;;;
Midlands;2018;Managers in the commercial sector;<= 29;6 689;6 604;6 829; 225;;;;;;;;
Midlands;2018;Managers in production and specialized services;<= 29;6 313;6 410;6 253;- 157;;;;;;;;
Midlands;2018;Managers in hotels, restaurants, retail and other services services;<= 29;4 633;4 643;*;#WERT!;;;;;;;;
Midlands;2018;Intellectual and scientific professions;<= 29;6 371;6 430;6 296;- 134;;;;;;;;
Midlands;2018;Scientists, mathematicians and engineers;<= 29;6 471;6 077;6 530; 453;;;;;;;;
Midlands;2018;Specialists in health professions;<= 29;6 331;6 263;6 519; 256;;;;;;;;
Midlands;2018;Teachers;<= 29;6 793;6 793;6 770;- 23;;;;;;;;
Midlands;2018;Business economists and similar specialists;<= 29;5 519;5 627;5 455;- 172;;;;;;;;
Midlands;2018;Specialists in information and communication technology;<= 29;6 476;6 624;6 394;- 230;;;;;;;;
Midlands;2018;Lawyers, social scientists and cultural professions;<= 29;6 179;6 214;5 737;- 477;;;;;;;;
Midlands;2018;Technicians and equivalent non-technical professions;<= 29;5 429;5 254;5 666; 412;;;;;;;;
Midlands;2018;Engineering and comparable specialists;<= 29;5 720;5 262;5 792; 530;;;;;;;;
Midlands;2018;Assistant professions in the healthcare sector;<= 29;5 543;5 484;5 917; 433;;;;;;;;
Midlands;2018;Business management and commercial specialists and administrative specialists;<= 29;5 262;5 159;5 520; 361;;;;;;;;
Midlands;2018;Legal, social, cultural and related professionals;<= 29;5 114;4 910;5 468; 558;;;;;;;;
Midlands;2018;Information and communication technicians;<= 29;5 184;5 052;5 348; 296;;;;;;;;
Midlands;2018;Office workers and related professions;<= 29;4 900;4 954;4 850;- 104;;;;;;;;
Midlands;2018;General office and secretarial staff;<= 29;4 981;4 989;4 943;- 46;;;;;;;;
Midlands;2018;Office staff with customer contact;<= 29;4 582;4 524;4 822; 298;;;;;;;;
Midlands;2018;Office staff in finance and accounting, statistics and materials management;<= 29;4 938;5 200;4 850;- 350;;;;;;;;
Midlands;2018;Other office workers and related occupations;<= 29;4 806;4 950;4 762;- 188;;;;;;;;
Midlands;2018;Service professions and salespersons;<= 29;4 590;4 535;4 676; 141;;;;;;;;
Midlands;2018;Occupations in the field of personal services;<= 29;4 282;4 184;4 433; 249;;;;;;;;
Midlands;2018;Sales staff;<= 29;4 523;4 438;4 676; 238;;;;;;;;
Midlands;2018;Caring professions;<= 29;4 840;4 841;4 819;- 22;;;;;;;;
Midlands;2018;Protection and security workers;<= 29;5 899;5 719;5 990; 271;;;;;;;;
Midlands;2018;Skilled workers in agriculture, forestry and fishing;<= 29;4 798;4 547;4 849; 302;;;;;;;;
Midlands;2018;Skilled workers in agriculture;<= 29;4 780;4 547;4 835; 288;;;;;;;;
Midlands;2018;Craft and related trades;<= 29;5 159;4 623;5 209; 586;;;;;;;;
Midlands;2018;Construction and finishing workers and related occupations, excl. Electricians;<= 29;5 436;5 399;5 444; 45;;;;;;;;
Midlands;2018;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;<= 29;5 082;4 945;5 107; 162;;;;;;;;
Midlands;2018;Precision craftsmen and women, printers and artisans;<= 29;4 852;4 645;5 143; 498;;;;;;;;
Midlands;2018;Electricians and electronics technicians;<= 29;5 200;*;5 200;#WERT!;;;;;;;;
Midlands;2018;Food processing, clothing production and related skilled trades;<= 29;4 679;4 233;5 010; 777;;;;;;;;
Midlands;2018;Operating plant and machinery and assembly occupations;<= 29;4 945;4 507;5 082; 575;;;;;;;;
Midlands;2018;Operating stationary plant and machinery;<= 29;4 846;4 354;4 982; 628;;;;;;;;
