Year,Region,Industry,Professional Position Category,Gross Pay Total,Gross Pay Women,Gross Pay Men,Gender Pay Gap
2020,Midlands,Construction ,Total ,6280,6065,6286,221
2020,Midlands,SECTOR 3 SERVICES ,Total ,6790,6258,7353,1095
2020,Midlands,Wholesale and retail trade,Total ,5549,5037,6038,1001
2020,Midlands,Transportation and storage,Total ,6655,6159,6842,683
2020,Midlands,Hotels and restaurants,Total ,4444,4382,4586,204
2020,Midlands,Information and communication,Total ,8766,7040,9424,2384
2020,Midlands,Financial and insurance services,Total ,8070,6986,9627,2641
2020,Midlands,Professional services,Total ,7584,6655,8331,1676
2020,Midlands,Other business services,Total ,5783,5058,6021,963
2020,Midlands,Health and social work,Total ,6255,6086,6931,845
2020,Midlands,Arts and recreation,Total ,6182,5813,6497,684
2020,Midlands,Other service activities,Total ,6705,6290,7333,1043
2020,Midlands,TOTAL,T/U/M Management,9949,8590,10505,1915
2020,Midlands,SECTOR 2 PRODUCTION,T/U/M Management,9231,8218,9367,1149
,,,,0,0,0,0
2020,Midlands,Manufacturing of Goods,T/U/M Management,9554,8284,9722,1438
,,,,9498,0,9730,9730
2020,Midlands,Construction ,T/U/M Management,8280,7192,8432,1240
2020,Midlands,SECTOR 3 SERVICES ,T/U/M Management,10315,8665,11107,2442
2020,Midlands,Wholesale and retail trade,T/U/M Management,8109,6627,8728,2101
2020,Midlands,Transportation and storage,T/U/M Management,11024,9082,11230,2148
2020,Midlands,Hotels and restaurants,T/U/M Management,5467,5068,5798,730
2020,Midlands,Information and communication,T/U/M Management,12743,11228,12946,1718
2020,Midlands,Financial and insurance services,T/U/M Management,12296,10831,12764,1933
2020,Midlands,Professional services,T/U/M Management,10917,9489,11203,1714
2020,Midlands,Other business services,T/U/M Management,8002,7427,8340,913
2020,Midlands,Health and social work,T/U/M Management,9416,8595,11111,2516
2020,Midlands,Arts and recreation,T/U/M Management,8133,7581,8517,936
2020,Midlands,Other service activities,T/U/M Management,8808,8305,9304,999
2020,Midlands,TOTAL,Lower management,8263,7717,8595,878
2020,Midlands,SECTOR 2 PRODUCTION,Lower management,7886,7273,7999,726
,,,,0,0,0,0
2020,Midlands,Manufacturing of Goods,Lower management,8080,7290,8218,928
,,,,0,0,0,0
2020,Midlands,Construction ,Lower management,7448,6694,7457,763
2020,Midlands,SECTOR 3 SERVICES ,Lower management,8470,7797,9127,1330
2020,Midlands,Wholesale and retail trade,Lower management,6895,6421,7190,769
2020,Midlands,Transportation and storage,Lower management,8423,7458,8606,1148
2020,Midlands,Hotels and restaurants,Lower management,5158,4932,5375,443
2020,Midlands,Information and communication,Lower management,9723,8000,10185,2185
2020,Midlands,Financial and insurance services,Lower management,9693,8700,10283,1583
2020,Midlands,Professional services,Lower management,8335,7623,8614,991
2020,Midlands,Other business services,Lower management,7040,6665,7233,568
2020,Midlands,Health and social work,Lower management,7905,7562,8346,784
2020,Midlands,Arts and recreation,Lower management,6983,6552,7416,864
2020,Midlands,Other service activities,Lower management,7542,7113,8033,920
2020,Midlands,TOTAL,Lowest management,7232,6749,7519,770
2020,Midlands,SECTOR 2 PRODUCTION,Lowest management,6860,6328,6954,626
,,,,0,0,0,0
2020,Midlands,Manufacturing of Goods,Lowest management,6882,6309,7040,731
,,,,6910,0,6830,6830
2020,Midlands,Construction ,Lowest management,6687,6226,6708,482
2020,Midlands,SECTOR 3 SERVICES ,Lowest management,7461,6814,8038,1224
2020,Midlands,Wholesale and retail trade,Lowest management,5935,5531,6340,809
2020,Midlands,Transportation and storage,Lowest management,10504,10170,10574,404
2020,Midlands,Hotels and restaurants,Lowest management,4763,4701,4889,188
2020,Midlands,Information and communication,Lowest management,8832,7338,9331,1993
2020,Midlands,Financial and insurance services,Lowest management,7802,7616,8091,475
2020,Midlands,Professional services,Lowest management,7455,6588,7935,1347
2020,Midlands,Other business services,Lowest management,6061,5856,6061,205
2020,Midlands,Health and social work,Lowest management,6808,6738,7029,291
2020,Midlands,Arts and recreation,Lowest management,6396,5831,6760,929
2020,Midlands,Other service activities,Lowest management,7148,6897,7615,718
2020,Midlands,TOTAL,No management,6129,5814,6329,515
2020,Midlands,SECTOR 2 PRODUCTION,No management,5941,5283,6098,815
,,,,6129,0,6160,6160
2020,Midlands,Manufacturing of Goods,No management,5826,5185,6109,924
2020,Midlands,Waste disposal,No management,6029,6192,6014,-178
2020,Midlands,Construction ,No management,6002,5859,6011,152
2020,Midlands,SECTOR 3 SERVICES ,No management,6258,5959,6602,643
2020,Midlands,Wholesale and retail trade,No management,5162,4855,5483,628
2020,Midlands,Transportation and storage,No management,6382,6059,6543,484
2020,Midlands,Hotels and restaurants,No management,4294,4296,4290,-6
2020,Midlands,Information and communication,No management,8022,6814,8638,1824
2020,Midlands,Financial and insurance services,No management,7036,6629,8004,1375
2020,Midlands,Professional services,No management,6594,6229,7050,821
2020,Midlands,Other business services,No management,5540,4833,5820,987
2020,Midlands,Health and social work,No management,5903,5829,6238,409
2020,Midlands,Arts and recreation,No management,5702,5509,5842,333
2020,Midlands,Other service activities,No management,6116,5899,6552,653
2018,Midlands,TOTAL,Total ,6511,5994,6864,870
2018,Midlands,SECTOR 2 PRODUCTION,Total ,6253,5429,6452,1023
,,,,6312,0,6330,6330
2018,Midlands,Manufacturing of Goods,Total ,6207,5324,6511,1187
2018,Midlands,Waste disposal,Total ,6108,5981,6115,134
2018,Midlands,Construction ,Total ,6200,5998,6242,244
2018,Midlands,SECTOR 3 SERVICES ,Total ,6679,6118,7251,1133
2018,Midlands,Wholesale and retail trade,Total ,5547,4937,6127,1190
2018,Midlands,Transportation and storage,Total ,6582,6031,6819,788
2018,Midlands,Hotels and restaurants,Total ,4393,4300,4540,240
2018,Midlands,Information and communication,Total ,8616,6939,9316,2377
2018,Midlands,Financial and insurance services,Total ,7908,6707,9639,2932
2018,Midlands,Professional services,Total ,7307,6424,8211,1787
2018,Midlands,Other business services,Total ,5483,4878,5683,805
2018,Midlands,Health and social work,Total ,6189,5985,6923,938
2018,Midlands,Arts and recreation,Total ,6175,5671,6657,986
2018,Midlands,Other service activities,Total ,6629,6097,7454,1357
2018,Midlands,TOTAL,T/U/M Management,9848,8125,10433,2308
2018,Midlands,SECTOR 2 PRODUCTION,T/U/M Management,9429,8555,9557,1002
,,,,8177,0,0,0
2018,Midlands,Manufacturing of Goods,T/U/M Management,9810,9060,9933,873
,,,,9475,0,9972,9972
2018,Midlands,Construction ,T/U/M Management,8295,4545,8352,3807
2018,Midlands,SECTOR 3 SERVICES ,T/U/M Management,10095,8088,10978,2890
2018,Midlands,Wholesale and retail trade,T/U/M Management,8412,6190,9210,3020
2018,Midlands,Transportation and storage,T/U/M Management,11485,9778,11673,1895
2018,Midlands,Hotels and restaurants,T/U/M Management,5365,4952,5879,927
2018,Midlands,Information and communication,T/U/M Management,13029,11968,13190,1222
2018,Midlands,Financial and insurance services,T/U/M Management,12020,10564,12381,1817
2018,Midlands,Professional services,T/U/M Management,10833,8282,11486,3204
2018,Midlands,Other business services,T/U/M Management,7892,7059,8066,1007
2018,Midlands,Health and social work,T/U/M Management,8679,7824,10317,2493
2018,Midlands,Arts and recreation,T/U/M Management,8254,7222,8850,1628
2018,Midlands,Other service activities,T/U/M Management,9215,8565,9811,1246
2018,Midlands,TOTAL,Lower management,8099,7345,8443,1098
2018,Midlands,SECTOR 2 PRODUCTION,Lower management,7853,7598,7900,302
,,,,6882,0,6859,6859
2018,Midlands,Manufacturing of Goods,Lower management,8025,7434,8145,711
,,,,6641,0,0,0
2018,Midlands,Construction ,Lower management,7416,8011,7329,-682
2018,Midlands,SECTOR 3 SERVICES ,Lower management,8232,7300,8875,1575
2018,Midlands,Wholesale and retail trade,Lower management,7062,6098,7329,1231
2018,Midlands,Transportation and storage,Lower management,8212,6100,8425,2325
2018,Midlands,Hotels and restaurants,Lower management,5038,4770,5334,564
2018,Midlands,Information and communication,Lower management,9079,7131,9670,2539
2018,Midlands,Financial and insurance services,Lower management,9848,8831,10325,1494
2018,Midlands,Professional services,Lower management,8252,6879,8930,2051
2018,Midlands,Other business services,Lower management,6747,6240,6893,653
2018,Midlands,Health and social work,Lower management,7353,6826,8229,1403
2018,Midlands,Arts and recreation,Lower management,7143,6139,7535,1396
2018,Midlands,Other service activities,Lower management,7963,7366,8611,1245
2018,Midlands,TOTAL,Lowest management,6962,6564,7179,615
2018,Midlands,SECTOR 2 PRODUCTION,Lowest management,6559,6066,6641,575
,,,,6020,0,6034,6034
2018,Midlands,Manufacturing of Goods,Lowest management,6683,6130,6872,742
,,,,6923,0,6923,6923
2018,Midlands,Construction ,Lowest management,6296,5811,6366,555
2018,Midlands,SECTOR 3 SERVICES ,Lowest management,7266,6697,7740,1043
2018,Midlands,Wholesale and retail trade,Lowest management,5847,5366,6248,882
2018,Midlands,Transportation and storage,Lowest management,8916,7836,9152,1316
2018,Midlands,Hotels and restaurants,Lowest management,4776,4487,4930,443
2018,Midlands,Information and communication,Lowest management,8305,7398,8598,1200
2018,Midlands,Financial and insurance services,Lowest management,8229,7663,8866,1203
2018,Midlands,Professional services,Lowest management,7290,6871,7760,889
2018,Midlands,Other business services,Lowest management,5600,5525,5608,83
2018,Midlands,Health and social work,Lowest management,6729,6618,7053,435
2018,Midlands,Arts and recreation,Lowest management,6488,6190,6676,486
2018,Midlands,Other service activities,Lowest management,6637,6396,7042,646
2018,Midlands,TOTAL,No management,6085,5744,6293,549
2018,Midlands,SECTOR 2 PRODUCTION,No management,5881,5210,6050,840
,,,,6200,0,6210,6210
2018,Midlands,Manufacturing of Goods,No management,5805,5141,6078,937
2018,Midlands,Waste disposal,No management,5622,5748,5613,-135
2018,Midlands,Construction ,No management,5927,5795,5935,140
2018,Midlands,SECTOR 3 SERVICES ,No management,6205,5896,6564,668
2018,Midlands,Wholesale and retail trade,No management,5170,4778,5630,852
2018,Midlands,Transportation and storage,No management,6246,5954,6460,506
2018,Midlands,Hotels and restaurants,No management,4237,4197,4272,75
2018,Midlands,Information and communication,No management,7847,6729,8489,1760
2018,Midlands,Financial and insurance services,No management,6792,6406,7936,1530
2018,Midlands,Professional services,No management,6495,6041,6973,932
2018,Midlands,Other business services,No management,5329,4735,5548,813
2018,Midlands,Health and social work,No management,5850,5772,6180,408
2018,Midlands,Arts and recreation,No management,5693,5275,5992,717
2018,Midlands,Other service activities,No management,5947,5584,6500,916
2016,Midlands,TOTAL,Total ,6426,5907,6785,878
2016,Midlands,SECTOR 2 PRODUCTION,Total ,6125,5355,6321,966
,,,,6357,0,6386,6386
2016,Midlands,Manufacturing of Goods,Total ,6127,5275,6452,1177
,,,,6240,6325,6229,-96
2016,Midlands,Construction ,Total ,6017,5736,6039,303
2016,Midlands,SECTOR 3 SERVICES ,Total ,6638,6048,7281,1233
2016,Midlands,Wholesale and retail trade,Total ,5401,4781,6010,1229
2016,Midlands,Transportation and storage,Total ,6506,6027,6753,726
2016,Midlands,Hotels and restaurants,Total ,4331,4272,4460,188
2016,Midlands,Information and communication,Total ,8750,7120,9439,2319
2016,Midlands,Financial and insurance services,Total ,7771,6634,9414,2780
2016,Midlands,Professional services,Total ,7341,6423,8227,1804
2016,Midlands,Other business services,Total ,5606,4925,5822,897
2016,Midlands,Health and social work,Total ,6149,5971,6831,860
2016,Midlands,Arts and recreation,Total ,6116,5742,6381,639
2016,Midlands,Other service activities,Total ,6384,5896,7004,1108
2016,Midlands,TOTAL,T/U/M Management,9620,8193,10223,2030
2016,Midlands,SECTOR 2 PRODUCTION,T/U/M Management,9335,8130,9490,1360
,,,,0,0,0,0
2016,Midlands,Manufacturing of Goods,T/U/M Management,9754,8661,10000,1339
,,,,8894,0,9478,9478
2016,Midlands,Construction ,T/U/M Management,7968,6943,8185,1242
2016,Midlands,SECTOR 3 SERVICES ,T/U/M Management,9812,8193,10748,2555
2016,Midlands,Wholesale and retail trade,T/U/M Management,8360,6667,8824,2157
,,,,11468,9624,11635,2011
,,,,5860,5462,6260,798
,,,,10715,7879,11043,3164
2016,Midlands,Financial and insurance services,T/U/M Management,11981,10043,12354,2311
2016,Midlands,Professional services,T/U/M Management,10753,8768,11369,2601
,,,,7263,6599,7402,803
2016,Midlands,Health and social work,T/U/M Management,8613,8121,10068,1947
,,,,8707,8285,9415,1130
,,,,9149,8850,9562,712
2016,Midlands,TOTAL,Lower management,7621,6951,7964,1013
,,,,7354,6295,7479,1184
,,,,6890,0,6860,6860
,,,,7297,6291,7446,1155
,,,,6860,0,0,0
2016,Midlands,Construction ,Lower management,7274,5957,7311,1354
2016,Midlands,SECTOR 3 SERVICES ,Lower management,7841,7052,8568,1516
2016,Midlands,Wholesale and retail trade,Lower management,6525,5642,7004,1362
,,,,7689,6323,7969,1646
,,,,5137,4937,5158,221
2016,Midlands,Information and communication,Lower management,8640,7867,8982,1115
2016,Midlands,Financial and insurance services,Lower management,9716,8050,10380,2330
2016,Midlands,Professional services,Lower management,8438,7467,8970,1503
,,,,5983,5744,6010,266
2016,Midlands,Health and social work,Lower management,7221,6943,7785,842
,,,,7606,7206,8187,981
2016,Midlands,Other service activities,Lower management,7786,7359,8592,1233
2016,Midlands,TOTAL,Lowest management,6899,6359,7153,794
2016,Midlands,SECTOR 2 PRODUCTION,Lowest management,6626,5978,6743,765
,,,,5907,0,5915,5915
2016,Midlands,Manufacturing of Goods,Lowest management,6643,5925,6855,930
,,,,6028,0,6028,6028
2016,Midlands,Construction ,Lowest management,6507,5703,6551,848
2016,Midlands,SECTOR 3 SERVICES ,Lowest management,7110,6430,7727,1297
2016,Midlands,Wholesale and retail trade,Lowest management,5776,5212,6187,975
,,,,8763,8075,8889,814
2016,Midlands,Hotels and restaurants,Lowest management,4782,4667,5154,487
2016,Midlands,Information and communication,Lowest management,8573,7427,8899,1472
2016,Midlands,Financial and insurance services,Lowest management,8031,7582,8559,977
,,,,6907,6565,7136,571
,,,,5535,4936,5724,788
2016,Midlands,Health and social work,Lowest management,6600,6421,6964,543
,,,,6313,6117,6499,382
,,,,6428,6137,6868,731
2016,Midlands,TOTAL,No management,5956,5546,6196,650
2016,Midlands,SECTOR 2 PRODUCTION,No management,5762,5178,5933,755
,,,,6332,0,6374,6374
2016,Midlands,Manufacturing of Goods,No management,5744,5110,6025,915
2016,Midlands,Waste disposal,No management,5778,6030,5776,-254
2016,Midlands,Construction ,No management,5739,5597,5741,144
2016,Midlands,SECTOR 3 SERVICES ,No management,6071,5672,6547,875
2016,Midlands,Wholesale and retail trade,No management,5002,4642,5522,880
2016,Midlands,Transportation and storage,No management,6189,5919,6402,483
2016,Midlands,Hotels and restaurants,No management,4183,4157,4235,78
2016,Midlands,Information and communication,No management,8628,7067,9332,2265
2016,Midlands,Financial and insurance services,No management,6795,6348,7849,1501
2016,Midlands,Professional services,No management,6340,6065,6801,736
2016,Midlands,Other business services,No management,5391,4754,5625,871
2016,Midlands,Health and social work,No management,5783,5711,6149,438
2016,Midlands,Arts and recreation,No management,5612,5402,5763,361
2016,Midlands,Other service activities,No management,5792,5477,6195,718
2014,Midlands,TOTAL,Total ,6358,5879,6677,798
2014,Midlands,SECTOR 2 PRODUCTION,Total ,6076,5241,6275,1034
,,,,6525,0,6581,6581
2014,Midlands,Manufacturing of Goods,Total ,6012,5156,6343,1187
2014,Midlands,Waste disposal,Total ,6109,6184,6102,-82
2014,Midlands,Construction ,Total ,6007,5588,6038,450
2014,Midlands,SECTOR 3 SERVICES ,Total ,6530,6031,7056,1025
2014,Midlands,Wholesale and retail trade,Total ,5238,4603,5925,1322
,,,,6448,6114,6629,515
2014,Midlands,Hotels and restaurants,Total ,4331,4232,4524,292
2014,Midlands,Information and communication,Total ,8501,6924,9233,2309
2014,Midlands,Financial and insurance services,Total ,7522,6483,9286,2803
2014,Midlands,Professional services,Total ,7267,6331,8080,1749
2014,Midlands,Other business services,Total ,5552,4795,5850,1055
2014,Midlands,Health and social work,Total ,6132,5935,6895,960
2014,Midlands,Arts and recreation,Total ,6245,5722,6697,975
2014,Midlands,Other service activities,Total ,6231,5592,7246,1654
2014,Midlands,TOTAL,T/U/M Management,9629,7959,10195,2236
2014,Midlands,SECTOR 2 PRODUCTION,T/U/M Management,9219,7829,9399,1570
,,,,0,0,0,0
2014,Midlands,Manufacturing of Goods,T/U/M Management,9539,7986,9779,1793
,,,,9542,0,9455,9455
,,,,7880,6608,7934,1326
2014,Midlands,SECTOR 3 SERVICES ,T/U/M Management,9874,8000,10688,2688
,,,,7270,5584,7977,2393
,,,,11705,10949,11766,817
,,,,5218,4978,5638,660
2014,Midlands,Information and communication,T/U/M Management,12871,11362,13020,1658
2014,Midlands,Financial and insurance services,T/U/M Management,11905,10190,12302,2112
2014,Midlands,Professional services,T/U/M Management,10615,8970,11106,2136
,,,,8157,7174,8889,1715
2014,Midlands,Health and social work,T/U/M Management,8756,7911,9975,2064
,,,,8198,7222,8726,1504
2014,Midlands,Other service activities,T/U/M Management,9274,8158,9728,1570
2014,Midlands,TOTAL,Lower management,7533,6760,7896,1136
,,,,7349,6606,7501,895
,,,,0,0,0,0
,,,,7222,6463,7320,857
,,,,7197,0,7623,7623
2014,Midlands,Construction ,Lower management,7176,6281,7252,971
2014,Midlands,SECTOR 3 SERVICES ,Lower management,7674,6819,8342,1523
2014,Midlands,Wholesale and retail trade,Lower management,6665,5633,7223,1590
,,,,7724,6333,7945,1612
2014,Midlands,Hotels and restaurants,Lower management,4950,4746,5180,434
,,,,8514,6775,9694,2919
2014,Midlands,Financial and insurance services,Lower management,8849,7584,9704,2120
2014,Midlands,Professional services,Lower management,7480,6681,8093,1412
,,,,6424,6306,6762,456
2014,Midlands,Health and social work,Lower management,7200,6745,7945,1200
,,,,7837,7340,8219,879
,,,,7584,6884,8224,1340
2014,Midlands,TOTAL,Lowest management,6892,6396,7094,698
2014,Midlands,SECTOR 2 PRODUCTION,Lowest management,6562,5713,6700,987
,,,,0,0,0,0
2014,Midlands,Manufacturing of Goods,Lowest management,6542,5619,6712,1093
,,,,7014,0,6654,6654
2014,Midlands,Construction ,Lowest management,6354,5455,6427,972
2014,Midlands,SECTOR 3 SERVICES ,Lowest management,7163,6628,7538,910
2014,Midlands,Wholesale and retail trade,Lowest management,5674,4952,6303,1351
,,,,8037,7759,8111,352
2014,Midlands,Hotels and restaurants,Lowest management,4562,4562,4707,145
2014,Midlands,Information and communication,Lowest management,8115,6688,8283,1595
2014,Midlands,Financial and insurance services,Lowest management,7463,6951,8420,1469
2014,Midlands,Professional services,Lowest management,6786,6306,7222,916
,,,,6079,5327,6183,856
2014,Midlands,Health and social work,Lowest management,6675,6541,6935,394
,,,,5991,5571,0,-5571
2014,Midlands,Other service activities,Lowest management,6498,6112,6884,772
2014,Midlands,TOTAL,No management,5937,5588,6122,534
2014,Midlands,SECTOR 2 PRODUCTION,No management,5686,5028,5861,833
,,,,6356,0,6414,6414
2014,Midlands,Manufacturing of Goods,No management,5610,4978,5891,913
,,,,5585,5864,5582,-282
2014,Midlands,Construction ,No management,5752,5392,5769,377
2014,Midlands,SECTOR 3 SERVICES ,No management,6070,5751,6366,615
2014,Midlands,Wholesale and retail trade,No management,4866,4439,5262,823
,,,,6205,6020,6307,287
2014,Midlands,Hotels and restaurants,No management,4083,4056,4101,45
2014,Midlands,Information and communication,No management,7861,6739,8522,1783
2014,Midlands,Financial and insurance services,No management,6470,6159,7175,1016
2014,Midlands,Professional services,No management,6335,6000,6717,717
2014,Midlands,Other business services,No management,5214,4628,5528,900
2014,Midlands,Health and social work,No management,5778,5710,6149,439
2014,Midlands,Arts and recreation,No management,5782,5411,6166,755
2014,Midlands,Other service activities,No management,5543,5143,6176,1033
2012,Midlands,TOTAL,Total ,6308,5658,6690,1032
2012,Midlands,SECTOR 2 PRODUCTION,Total ,6066,5145,6276,1131
,,,,6242,0,6245,6245
2012,Midlands,Manufacturing of Goods,Total ,6053,5076,6397,1321
2012,Midlands,Waste disposal,Total ,6009,5680,6043,363
2012,Midlands,Construction ,Total ,5943,5343,5975,632
2012,Midlands,SECTOR 3 SERVICES ,Total ,6473,5810,7086,1276
2012,Midlands,Wholesale and retail trade,Total ,5157,4504,5759,1255
,,,,6522,6094,6733,639
2012,Midlands,Hotels and restaurants,Total ,4256,4127,4476,349
2012,Midlands,Information and communication,Total ,8547,6895,9335,2440
2012,Midlands,Financial and insurance services,Total ,7432,6347,9214,2867
2012,Midlands,Professional services,Total ,7130,6013,8128,2115
2012,Midlands,Other business services,Total ,5414,4697,5765,1068
2012,Midlands,Health and social work,Total ,6072,5843,6879,1036
2012,Midlands,Arts and recreation,Total ,5809,5210,6392,1182
2012,Midlands,Other service activities,Total ,6088,5569,6844,1275
2012,Midlands,TOTAL,T/U/M Management,9500,7441,10166,2725
2012,Midlands,SECTOR 2 PRODUCTION,T/U/M Management,9433,7440,9630,2190
,,,,0,0,0,0
2012,Midlands,Manufacturing of Goods,T/U/M Management,9849,7794,10086,2292
,,,,8449,0,8664,8664
,,,,7973,5711,8104,2393
2012,Midlands,SECTOR 3 SERVICES ,T/U/M Management,9536,7441,10553,3112
2012,Midlands,Wholesale and retail trade,T/U/M Management,7828,6118,8417,2299
,,,,10751,8722,10863,2141
2012,Midlands,Hotels and restaurants,T/U/M Management,5162,4632,5663,1031
2012,Midlands,Information and communication,T/U/M Management,12847,10456,13071,2615
2012,Midlands,Financial and insurance services,T/U/M Management,11679,9492,12069,2577
2012,Midlands,Professional services,T/U/M Management,10735,7843,11571,3728
,,,,7663,5647,9091,3444
2012,Midlands,Health and social work,T/U/M Management,8178,7551,9562,2011
2012,Midlands,Arts and recreation,T/U/M Management,8601,7291,9208,1917
,,,,9176,7889,9763,1874
2012,Midlands,TOTAL,Lower management,7586,6750,7927,1177
2012,Midlands,SECTOR 2 PRODUCTION,Lower management,7543,6714,7651,937
,,,,0,0,0,0
2012,Midlands,Manufacturing of Goods,Lower management,7679,6717,7825,1108
,,,,7781,0,0,0
,,,,6747,5545,6807,1262
2012,Midlands,SECTOR 3 SERVICES ,Lower management,7608,6760,8330,1570
2012,Midlands,Wholesale and retail trade,Lower management,6605,5755,7040,1285
,,,,6346,5843,6452,609
2012,Midlands,Hotels and restaurants,Lower management,4905,4715,4952,237
,,,,9414,7375,9837,2462
2012,Midlands,Financial and insurance services,Lower management,8886,7530,9563,2033
2012,Midlands,Professional services,Lower management,7691,6990,8270,1280
,,,,6337,5742,6884,1142
2012,Midlands,Health and social work,Lower management,7118,6740,7864,1124
,,,,6441,5760,6917,1157
,,,,7061,6139,7760,1621
2012,Midlands,TOTAL,Lowest management,6823,6243,7051,808
2012,Midlands,SECTOR 2 PRODUCTION,Lowest management,6582,5926,6700,774
,,,,0,0,0,0
2012,Midlands,Manufacturing of Goods,Lowest management,6571,5850,6721,871
,,,,7203,0,7411,7411
2012,Midlands,Construction ,Lowest management,6416,5973,6446,473
2012,Midlands,SECTOR 3 SERVICES ,Lowest management,7031,6305,7474,1169
2012,Midlands,Wholesale and retail trade,Lowest management,5412,4691,5900,1209
,,,,8024,7670,8094,424
2012,Midlands,Hotels and restaurants,Lowest management,4455,4292,4636,344
2012,Midlands,Information and communication,Lowest management,9076,7193,9822,2629
2012,Midlands,Financial and insurance services,Lowest management,7610,7055,8182,1127
2012,Midlands,Professional services,Lowest management,6838,6024,7479,1455
,,,,5715,4998,6047,1049
2012,Midlands,Health and social work,Lowest management,6612,6473,7045,572
,,,,6275,6361,5914,-447
2012,Midlands,Other service activities,Lowest management,6416,6185,6675,490
2012,Midlands,TOTAL,No management,5812,5299,6074,775
2012,Midlands,SECTOR 2 PRODUCTION,No management,5620,4900,5804,904
,,,,6045,0,6104,6104
2012,Midlands,Manufacturing of Goods,No management,5558,4854,5842,988
2012,Midlands,Waste disposal,No management,5628,5529,5634,105
2012,Midlands,Construction ,No management,5655,5221,5687,466
2012,Midlands,SECTOR 3 SERVICES ,No management,5938,5445,6362,917
2012,Midlands,Wholesale and retail trade,No management,4756,4375,5242,867
,,,,6300,6021,6453,432
2012,Midlands,Hotels and restaurants,No management,4100,4025,4225,200
2012,Midlands,Information and communication,No management,7882,6718,8569,1851
2012,Midlands,Financial and insurance services,No management,6347,6021,7293,1272
2012,Midlands,Professional services,No management,6165,5709,6775,1066
2012,Midlands,Other business services,No management,5176,4624,5499,875
2012,Midlands,Health and social work,No management,5630,5532,6140,608
2012,Midlands,Arts and recreation,No management,5349,4890,5809,919
2012,Midlands,Other service activities,No management,5347,5088,5598,510
2020,North-West,TOTAL,Total ,6789,6395,7050,655
2020,North-West,SECTOR 2 PRODUCTION,Total ,7048,7182,7023,-159
,,,,6594,0,6417,6417
2020,North-West,Manufacturing of Goods,Total ,7540,7378,7580,202
2020,North-West,Waste disposal,Total ,6346,5960,6359,399
2020,North-West,Construction ,Total ,6213,5908,6234,326
2020,North-West,SECTOR 3 SERVICES ,Total ,6671,6297,7078,781
2020,North-West,Wholesale and retail trade,Total ,5821,5152,6379,1227
2020,North-West,Transportation and storage,Total ,5623,5511,5637,126
2020,North-West,Hotels and restaurants,Total ,4638,4543,4727,184
2020,North-West,Information and communication,Total ,8719,7186,9200,2014
2020,North-West,Financial and insurance services,Total ,9066,7502,10297,2795
2020,North-West,Professional services,Total ,8166,7313,8791,1478
2020,North-West,Other business services,Total ,5605,4995,5721,726
2020,North-West,Health and social work,Total ,6470,6253,7220,967
2020,North-West,Arts and recreation,Total ,6306,5824,6651,827
2020,North-West,Other service activities,Total ,6050,5408,6952,1544
2020,North-West,TOTAL,T/U/M Management,10968,9527,11448,1921
2020,North-West,SECTOR 2 PRODUCTION,T/U/M Management,12602,16431,11795,-4636
,,,,0,0,0,0
2020,North-West,Manufacturing of Goods,T/U/M Management,14802,17041,13731,-3310
,,,,9940,0,10109,10109
2020,North-West,Construction ,T/U/M Management,8865,7697,8920,1223
2020,North-West,SECTOR 3 SERVICES ,T/U/M Management,10294,8420,11287,2867
2020,North-West,Wholesale and retail trade,T/U/M Management,9697,7307,10635,3328
2020,North-West,Transportation and storage,T/U/M Management,9181,8584,9557,973
2020,North-West,Hotels and restaurants,T/U/M Management,5629,5159,6176,1017
2020,North-West,Information and communication,T/U/M Management,10766,8381,11538,3157
2020,North-West,Financial and insurance services,T/U/M Management,16082,11911,16976,5065
2020,North-West,Professional services,T/U/M Management,12569,12443,12668,225
2020,North-West,Other business services,T/U/M Management,7645,6465,8045,1580
2020,North-West,Health and social work,T/U/M Management,9625,8605,12129,3524
2020,North-West,Arts and recreation,T/U/M Management,7906,7027,8093,1066
2020,North-West,Other service activities,T/U/M Management,9088,8045,9860,1815
2020,North-West,TOTAL,Lower management,8929,8119,9309,1190
2020,North-West,SECTOR 2 PRODUCTION,Lower management,9282,10013,9158,-855
,,,,0,0,0,0
2020,North-West,Manufacturing of Goods,Lower management,9852,10432,9722,-710
,,,,8101,0,0,0
,,,,7205,0,7136,7136
2020,North-West,SECTOR 3 SERVICES ,Lower management,8747,7752,9410,1658
2020,North-West,Wholesale and retail trade,Lower management,7704,7281,7780,499
2020,North-West,Transportation and storage,Lower management,7957,7598,7957,359
2020,North-West,Hotels and restaurants,Lower management,5270,4979,5570,591
2020,North-West,Information and communication,Lower management,10019,9189,10314,1125
2020,North-West,Financial and insurance services,Lower management,11789,10768,12137,1369
2020,North-West,Professional services,Lower management,9692,8815,10006,1191
2020,North-West,Other business services,Lower management,6859,6986,6859,-127
2020,North-West,Health and social work,Lower management,7769,7218,9150,1932
2020,North-West,Arts and recreation,Lower management,7544,6585,7796,1211
2020,North-West,Other service activities,Lower management,7002,6479,8257,1778
2020,North-West,TOTAL,Lowest management,7557,7043,7802,759
2020,North-West,SECTOR 2 PRODUCTION,Lowest management,7303,7220,7329,109
,,,,0,0,0,0
2020,North-West,Manufacturing of Goods,Lowest management,7573,7257,7612,355
,,,,7053,0,7053,7053
